Time,Channel A
(s),(V)

-0.24866007,1.93487300
-0.24864007,1.84484400
-0.24862007,1.88985900
-0.24860007,1.84484400
-0.24858007,1.88985900
-0.24856007,1.88985900
-0.24854007,1.93487300
-0.24852007,1.84484400
-0.24850007,1.88985900
-0.24848007,1.84484400
-0.24846007,1.93487300
-0.24844007,1.88985900
-0.24842007,1.88985900
-0.24840007,1.88985900
-0.24838007,1.88985900
-0.24836007,1.88985900
-0.24834007,1.88985900
-0.24832007,1.84484400
-0.24830007,1.88985900
-0.24828007,1.88985900
-0.24826007,1.93487300
-0.24824007,1.88985900
-0.24822007,1.93487300
-0.24820007,1.93487300
-0.24818007,1.88985900
-0.24816007,1.93487300
-0.24814007,1.84484400
-0.24812007,1.88985900
-0.24810007,1.93487300
-0.24808007,1.93487300
-0.24806007,1.88985900
-0.24804007,1.88985900
-0.24802007,1.93487300
-0.24800007,1.93487300
-0.24798007,1.88985900
-0.24796007,1.93487300
-0.24794007,1.93487300
-0.24792007,1.93487300
-0.24790007,1.93487300
-0.24788007,1.93487300
-0.24786007,1.88985900
-0.24784007,1.93487300
-0.24782007,1.88985900
-0.24780007,1.93487300
-0.24778007,1.93487300
-0.24776007,1.88985900
-0.24774007,1.88985900
-0.24772007,1.93487300
-0.24770007,1.88985900
-0.24768007,1.88985900
-0.24766007,1.88985900
-0.24764007,1.93487300
-0.24762007,1.88985900
-0.24760007,1.88985900
-0.24758007,1.93487300
-0.24756007,1.84484400
-0.24754007,1.84484400
-0.24752007,1.93487300
-0.24750007,1.93487300
-0.24748007,1.88985900
-0.24746007,1.93487300
-0.24744007,1.93487300
-0.24742007,1.93487300
-0.24740007,1.88985900
-0.24738007,1.93487300
-0.24736007,1.84484400
-0.24734007,1.88985900
-0.24732007,1.84484400
-0.24730007,1.93487300
-0.24728007,1.84484400
-0.24726007,1.84484400
-0.24724007,1.84484400
-0.24722007,1.88985900
-0.24720007,1.84484400
-0.24718007,1.88985900
-0.24716007,1.88985900
-0.24714007,1.93487300
-0.24712007,1.88985900
-0.24710007,1.84484400
-0.24708007,1.84484400
-0.24706007,1.93487300
-0.24704007,1.93487300
-0.24702007,1.93487300
-0.24700007,1.97988800
-0.24698007,1.93487300
-0.24696007,1.93487300
-0.24694007,1.93487300
-0.24692007,1.88985900
-0.24690007,1.93487300
-0.24688007,1.93487300
-0.24686007,1.93487300
-0.24684007,1.93487300
-0.24682007,1.84484400
-0.24680007,1.88985900
-0.24678007,1.88985900
-0.24676007,1.88985900
-0.24674007,1.88985900
-0.24672007,1.93487300
-0.24670007,1.88985900
-0.24668007,1.93487300
-0.24666007,1.88985900
-0.24664007,1.88985900
-0.24662007,1.84484400
-0.24660007,1.84484400
-0.24658007,1.88985900
-0.24656007,1.88985900
-0.24654007,1.93487300
-0.24652007,1.93487300
-0.24650007,1.84484400
-0.24648007,1.88985900
-0.24646007,1.88985900
-0.24644007,1.93487300
-0.24642007,1.88985900
-0.24640007,1.88985900
-0.24638007,1.84484400
-0.24636007,1.88985900
-0.24634007,1.88985900
-0.24632007,1.88985900
-0.24630007,1.88985900
-0.24628007,1.93487300
-0.24626007,1.88985900
-0.24624007,1.93487300
-0.24622007,1.88985900
-0.24620007,1.84484400
-0.24618007,1.88985900
-0.24616007,1.88985900
-0.24614007,1.93487300
-0.24612007,1.93487300
-0.24610007,1.93487300
-0.24608007,1.88985900
-0.24606007,1.93487300
-0.24604007,1.93487300
-0.24602007,1.93487300
-0.24600007,1.88985900
-0.24598007,1.93487300
-0.24596007,1.93487300
-0.24594007,1.88985900
-0.24592007,1.88985900
-0.24590007,1.93487300
-0.24588007,1.88985900
-0.24586007,1.93487300
-0.24584007,1.93487300
-0.24582007,1.93487300
-0.24580007,1.93487300
-0.24578007,1.93487300
-0.24576007,1.93487300
-0.24574007,1.93487300
-0.24572007,1.97988800
-0.24570007,1.93487300
-0.24568007,1.93487300
-0.24566007,1.93487300
-0.24564007,1.88985900
-0.24562007,1.88985900
-0.24560007,1.88985900
-0.24558007,1.84484400
-0.24556007,1.88985900
-0.24554007,1.88985900
-0.24552007,1.93487300
-0.24550007,1.88985900
-0.24548007,1.88985900
-0.24546007,1.93487300
-0.24544007,1.88985900
-0.24542007,1.88985900
-0.24540007,1.84484400
-0.24538007,1.88985900
-0.24536007,1.93487300
-0.24534007,1.88985900
-0.24532007,1.88985900
-0.24530007,1.84484400
-0.24528007,1.93487300
-0.24526007,1.88985900
-0.24524007,1.93487300
-0.24522007,1.88985900
-0.24520007,1.88985900
-0.24518007,1.93487300
-0.24516007,1.88985900
-0.24514007,1.88985900
-0.24512007,1.88985900
-0.24510007,1.93487300
-0.24508007,1.88985900
-0.24506007,1.88985900
-0.24504007,1.84484400
-0.24502007,1.93487300
-0.24500007,1.88985900
-0.24498007,1.84484400
-0.24496007,1.88985900
-0.24494007,1.88985900
-0.24492007,1.88985900
-0.24490007,1.93487300
-0.24488007,1.93487300
-0.24486007,1.93487300
-0.24484007,1.88985900
-0.24482007,1.97988800
-0.24480007,1.93487300
-0.24478007,1.93487300
-0.24476007,1.88985900
-0.24474007,1.93487300
-0.24472007,1.88985900
-0.24470007,1.93487300
-0.24468007,1.88985900
-0.24466007,1.88985900
-0.24464007,1.88985900
-0.24462007,1.88985900
-0.24460007,1.88985900
-0.24458007,1.88985900
-0.24456007,1.84484400
-0.24454007,1.88985900
-0.24452007,1.84484400
-0.24450007,1.88985900
-0.24448007,1.88985900
-0.24446007,1.88985900
-0.24444007,1.93487300
-0.24442007,1.88985900
-0.24440007,1.93487300
-0.24438007,1.93487300
-0.24436007,1.88985900
-0.24434007,1.84484400
-0.24432007,1.84484400
-0.24430007,1.84484400
-0.24428007,1.84484400
-0.24426007,1.88985900
-0.24424007,1.88985900
-0.24422007,1.84484400
-0.24420007,1.88985900
-0.24418007,1.88985900
-0.24416007,1.93487300
-0.24414007,1.88985900
-0.24412007,1.88985900
-0.24410007,1.93487300
-0.24408007,1.93487300
-0.24406007,1.88985900
-0.24404007,1.93487300
-0.24402007,1.93487300
-0.24400007,1.93487300
-0.24398007,1.88985900
-0.24396007,1.88985900
-0.24394007,1.93487300
-0.24392007,1.93487300
-0.24390007,1.93487300
-0.24388007,1.88985900
-0.24386007,1.88985900
-0.24384007,1.93487300
-0.24382007,1.88985900
-0.24380007,1.88985900
-0.24378007,1.84484400
-0.24376007,1.88985900
-0.24374007,1.84484400
-0.24372007,1.88985900
-0.24370007,1.88985900
-0.24368007,1.93487300
-0.24366007,1.93487300
-0.24364007,1.93487300
-0.24362007,1.84484400
-0.24360007,1.93487300
-0.24358007,1.88985900
-0.24356007,1.93487300
-0.24354007,1.88985900
-0.24352007,1.93487300
-0.24350007,1.93487300
-0.24348007,1.93487300
-0.24346007,1.88985900
-0.24344007,1.93487300
-0.24342007,1.88985900
-0.24340007,1.93487300
-0.24338007,1.88985900
-0.24336007,1.88985900
-0.24334007,1.84484400
-0.24332007,1.88985900
-0.24330007,1.93487300
-0.24328007,1.88985900
-0.24326007,1.88985900
-0.24324007,1.88985900
-0.24322007,1.93487300
-0.24320007,1.88985900
-0.24318007,1.93487300
-0.24316007,1.88985900
-0.24314007,1.88985900
-0.24312007,1.84484400
-0.24310007,1.93487300
-0.24308007,1.93487300
-0.24306007,1.93487300
-0.24304007,1.88985900
-0.24302007,1.88985900
-0.24300007,1.84484400
-0.24298007,1.88985900
-0.24296007,1.84484400
-0.24294007,1.93487300
-0.24292007,1.88985900
-0.24290007,1.93487300
-0.24288007,1.88985900
-0.24286007,1.93487300
-0.24284007,1.88985900
-0.24282007,1.93487300
-0.24280007,1.84484400
-0.24278007,1.84484400
-0.24276007,1.84484400
-0.24274007,1.93487300
-0.24272007,1.93487300
-0.24270007,1.93487300
-0.24268007,1.88985900
-0.24266007,1.93487300
-0.24264007,1.93487300
-0.24262007,1.93487300
-0.24260007,1.88985900
-0.24258007,1.88985900
-0.24256007,1.88985900
-0.24254007,1.88985900
-0.24252007,1.93487300
-0.24250007,1.93487300
-0.24248007,1.84484400
-0.24246007,1.93487300
-0.24244007,1.88985900
-0.24242007,1.88985900
-0.24240007,1.93487300
-0.24238007,1.93487300
-0.24236007,1.93487300
-0.24234007,1.93487300
-0.24232007,1.88985900
-0.24230007,1.93487300
-0.24228007,1.93487300
-0.24226007,1.88985900
-0.24224007,1.93487300
-0.24222007,1.88985900
-0.24220007,1.88985900
-0.24218007,1.84484400
-0.24216007,1.84484400
-0.24214007,1.84484400
-0.24212007,1.88985900
-0.24210007,1.84484400
-0.24208007,1.88985900
-0.24206007,1.84484400
-0.24204007,1.88985900
-0.24202007,1.93487300
-0.24200007,1.88985900
-0.24198007,1.84484400
-0.24196007,1.93487300
-0.24194007,1.88985900
-0.24192007,1.93487300
-0.24190007,1.93487300
-0.24188007,1.93487300
-0.24186007,1.93487300
-0.24184007,1.88985900
-0.24182007,1.93487300
-0.24180007,1.93487300
-0.24178007,1.93487300
-0.24176007,1.93487300
-0.24174007,1.93487300
-0.24172007,1.93487300
-0.24170007,1.88985900
-0.24168007,1.88985900
-0.24166007,1.88985900
-0.24164007,1.88985900
-0.24162007,1.88985900
-0.24160007,1.84484400
-0.24158007,1.88985900
-0.24156007,1.93487300
-0.24154007,1.88985900
-0.24152007,1.88985900
-0.24150007,1.93487300
-0.24148007,1.93487300
-0.24146007,1.93487300
-0.24144007,1.93487300
-0.24142007,1.88985900
-0.24140007,1.93487300
-0.24138007,1.88985900
-0.24136007,1.84484400
-0.24134007,1.88985900
-0.24132007,1.88985900
