Time,Channel A,Channel B
(s),(V),(V)

-1.76509988,0.46427810,0.22400590
-1.76499988,0.46427810,0.22400590
-1.76489988,0.46427810,0.21503340
-1.76479988,0.46427810,0.22400590
-1.76469988,0.46427810,0.21503340
-1.76459988,0.46427810,0.22400590
-1.76449988,0.46427810,0.22400590
-1.76439988,0.46427810,0.22400590
-1.76429988,0.46427810,0.22400590
-1.76419988,0.46427810,0.22400590
-1.76409988,0.46427810,0.22400590
-1.76399988,0.46427810,0.21503340
-1.76389988,0.46427810,0.22400590
-1.76379988,0.46427810,0.21503340
-1.76369988,0.46427810,0.21503340
-1.76359988,0.46427810,0.21503340
-1.76349988,0.47337260,0.22400590
-1.76339988,0.46427810,0.22400590
-1.76329988,0.46427810,0.21503340
-1.76319988,0.46427810,0.22400590
-1.76309988,0.46427810,0.21503340
-1.76299988,0.46427810,0.21503340
-1.76289988,0.46427810,0.22400590
-1.76279988,0.46427810,0.21503340
-1.76269988,0.46427810,0.22400590
-1.76259988,0.46427810,0.21503340
-1.76249988,0.46427810,0.22400590
-1.76239988,0.46427810,0.22400590
-1.76229988,0.46427810,0.22400590
-1.76219988,0.46427810,0.22400590
-1.76209988,0.46427810,0.22400590
-1.76199988,0.46427810,0.22400590
-1.76189988,0.46427810,0.22400590
-1.76179988,0.46427810,0.22400590
-1.76169988,0.46427810,0.22400590
-1.76159988,0.46427810,0.21503340
-1.76149988,0.46427810,0.22400590
-1.76139988,0.46427810,0.22400590
-1.76129988,0.46427810,0.22400590
-1.76119988,0.46427810,0.22400590
-1.76109988,0.46427810,0.22400590
-1.76099988,0.46427810,0.22400590
-1.76089988,0.46427810,0.22400590
-1.76079988,0.46427810,0.22400590
-1.76069988,0.46427810,0.22400590
-1.76059988,0.46427810,0.22400590
-1.76049988,0.46427810,0.22400590
-1.76039988,0.46427810,0.22400590
-1.76029988,0.46427810,0.22400590
-1.76019988,0.46427810,0.22400590
-1.76009988,0.46427810,0.22400590
-1.75999988,0.46427810,0.21503340
-1.75989988,0.46427810,0.22400590
-1.75979988,0.46427810,0.22400590
-1.75969988,0.46427810,0.21503340
-1.75959988,0.45518360,0.22400590
-1.75949988,0.45518360,0.21503340
-1.75939988,0.46427810,0.21503340
-1.75929988,0.46427810,0.21503340
-1.75919988,0.46427810,0.21503340
-1.75909988,0.46427810,0.21503340
-1.75899988,0.46427810,0.21503340
-1.75889988,0.45518360,0.21503340
-1.75879988,0.46427810,0.22400590
-1.75869988,0.46427810,0.22400590
-1.75859988,0.46427810,0.22400590
-1.75849988,0.46427810,0.21503340
-1.75839988,0.46427810,0.21503340
-1.75829988,0.46427810,0.21503340
-1.75819988,0.46427810,0.21503340
-1.75809988,0.46427810,0.21503340
-1.75799988,0.46427810,0.21503340
-1.75789988,0.46427810,0.22400590
-1.75779988,0.46427810,0.22400590
-1.75769988,0.46427810,0.22400590
-1.75759988,0.46427810,0.21503340
-1.75749988,0.46427810,0.22400590
-1.75739988,0.46427810,0.22400590
-1.75729988,0.46427810,0.22400590
-1.75719988,0.46427810,0.22400590
-1.75709988,0.46427810,0.21503340
-1.75699988,0.46427810,0.21503340
-1.75689988,0.46427810,0.22400590
-1.75679988,0.46427810,0.22400590
-1.75669988,0.46427810,0.22400590
-1.75659988,0.46427810,0.21503340
-1.75649988,0.46427810,0.22400590
-1.75639988,0.46427810,0.22400590
-1.75629988,0.46427810,0.22400590
-1.75619988,0.46427810,0.22400590
-1.75609988,0.46427810,0.21503340
-1.75599988,0.46427810,0.21503340
-1.75589988,0.46427810,0.21503340
-1.75579988,0.46427810,0.21503340
-1.75569988,0.46427810,0.21503340
-1.75559988,0.46427810,0.21503340
-1.75549988,0.46427810,0.21503340
-1.75539988,0.46427810,0.21503340
-1.75529988,0.46427810,0.21503340
-1.75519988,0.46427810,0.22400590
-1.75509988,0.46427810,0.21503340
-1.75499988,0.46427810,0.21503340
-1.75489988,0.46427810,0.21503340
-1.75479988,0.46427810,0.21503340
-1.75469988,0.46427810,0.21503340
-1.75459988,0.46427810,0.21503340
-1.75449988,0.46427810,0.22400590
-1.75439988,0.46427810,0.22400590
-1.75429988,0.46427810,0.21503340
-1.75419988,0.46427810,0.21503340
-1.75409988,0.46427810,0.21503340
-1.75399988,0.46427810,0.21503340
-1.75389988,0.46427810,0.22400590
-1.75379988,0.46427810,0.21503340
-1.75369988,0.46427810,0.21503340
-1.75359988,0.46427810,0.21503340
-1.75349988,0.46427810,0.22400590
-1.75339988,0.46427810,0.21503340
-1.75329988,0.46427810,0.21503340
-1.75319988,0.46427810,0.22400590
-1.75309988,0.46427810,0.21503340
-1.75299988,0.46427810,0.21503340
-1.75289988,0.46427810,0.21503340
-1.75279988,0.46427810,0.21503340
-1.75269988,0.46427810,0.22400590
-1.75259988,0.46427810,0.22400590
-1.75249988,0.46427810,0.22400590
-1.75239988,0.46427810,0.22400590
-1.75229988,0.46427810,0.21503340
-1.75219988,0.46427810,0.22400590
-1.75209988,0.46427810,0.21503340
-1.75199988,0.46427810,0.21503340
-1.75189988,0.46427810,0.21503340
-1.75179988,0.46427810,0.22400590
-1.75169988,0.46427810,0.22400590
-1.75159988,0.46427810,0.22400590
-1.75149988,0.46427810,0.21503340
-1.75139988,0.46427810,0.22400590
-1.75129988,0.46427810,0.21503340
